keyword|&id|&tweet|&date|&location|&retweets|&likes
safe|&1238187367728545795|&@BGazzawi @nafezouk @Nadine_bn Hope not! Stay safe all of u 🥺|&Fri Mar 13 03:37:27 SRET 2020|&N/A|&0|&0
safe|&1238187367657332736|&Though it’s not our place to comment on the ongoing confusion regarding the #AustralianGP we sincerely wish all those in the paddock this morning good health and a safe return

#CoronavirusPandemic https://t.co/QJsvTdoxBV|&Fri Mar 13 03:37:27 SRET 2020|&N/A|&0|&0
safe|&1238187367585980418|&We wish all our players, families, fans, and humanity in general a safe & healthy outcome from the Coronavirus outbreak. Hopefully our season will kick on time in May,that is not important at this time, you all are far more important than a game. We are in this together #oneteam|&Fri Mar 13 03:37:27 SRET 2020|&N/A|&0|&0
safe|&1238187367283830784|&@namosjeong stay safe!!|&Fri Mar 13 03:37:27 SRET 2020|&N/A|&0|&0
safe|&1238187366868815873|&@CarlyMarieC @AllyBrooke I hate this virus too. We all have to be safe.|&Fri Mar 13 03:37:27 SRET 2020|&N/A|&0|&0
safe|&1238187363530158082|&#NewsGang We should not be discussing our DP and BBI when we have COVID19 facing us. I expect our DP to be assuring us that we are safe and not that his life is in danger. Our lives are at stake when Corona Virus comes @YvonneOkwara @JamilaMohamed @LinusKaikai @JuneGachui|&Fri Mar 13 03:37:26 SRET 2020|&N/A|&0|&0
safe|&1238187363303555073|&@ChrisWragge @CBSNewYork @CBSBroadcastCtr Wow!!  Stay safe!|&Fri Mar 13 03:37:26 SRET 2020|&N/A|&0|&0
safe|&1238187361759969280|&@vmaranan_ anyare keep safe pare|&Fri Mar 13 03:37:26 SRET 2020|&N/A|&0|&0
safe|&1238187360724099072|&1 extra week of spring break and online classes after that 👏 Stay home, stay safe. No international vacations because of cheap flights guys. Please...|&Fri Mar 13 03:37:25 SRET 2020|&N/A|&0|&0
safe|&1238187360572989440|&😞 please be safe everyone. 🙏😷🤲🏼 https://t.co/vXsFuKdLvV|&Fri Mar 13 03:37:25 SRET 2020|&N/A|&0|&0
safe|&1238187360468307969|&@morphonios Gold is safe?|&Fri Mar 13 03:37:25 SRET 2020|&N/A|&0|&0
safe|&1238187358878662659|&@realDonaldTrump And, to keep the occupants at home SAFE, turn off the TV news and just watch regular shows for a month.  By then, everthing will be almost back to normal as warmer weather hits us and kills the Coronavirus, the flu and the media fear mongering! JT|&Fri Mar 13 03:37:25 SRET 2020|&N/A|&0|&0
safe|&1238187357372891136|&@vivamjm @BrokenTwitty @Petie42885201 Yes, but it's better to stay safe. We are self-isolating and for the moment well. The news from outside is always grimmer. Just want it all to be over.|&Fri Mar 13 03:37:25 SRET 2020|&N/A|&0|&0
safe|&1238187356991225862|&@RefSeanMcL safe as houses...|&Fri Mar 13 03:37:24 SRET 2020|&N/A|&0|&0
safe|&1238187355300941824|&PART 1 of a statement from Clemson: Clemson athletics fully supports the ACC statement as we look to create a safe environment for our student-athletes, coaches, staff and fans.|&Fri Mar 13 03:37:24 SRET 2020|&N/A|&0|&0
safe|&1238187355275747329|&Every precaution that’s being taken in order to prevent Corona being spread is all better safe than sorry moves at this point it’s something that although is confusing us at first is exactly what needs to be done|&Fri Mar 13 03:37:24 SRET 2020|&N/A|&0|&0
safe|&1238187354059309058|&#zostańwdomu

Stay safe and protect your life|&Fri Mar 13 03:37:24 SRET 2020|&N/A|&0|&0
safe|&1238187351454646273|&@tweetMOPOL What? 😂
Twitter is not a safe place|&Fri Mar 13 03:37:23 SRET 2020|&N/A|&0|&0
safe|&1238187351299497984|&@caligrown90 @TheRealBlockFi Yes, your BTC compounding interest is safe.  The liquidation scenario only applies if you take a USD loan secured by your BTC.  BTC sitting in an interest account is not at risk of liquidation.|&Fri Mar 13 03:37:23 SRET 2020|&N/A|&0|&0
safe|&1238187350443716609|&Congress needs to make COVID-19 testing widely available and free of charge – that’s how we’re going to fight this and keep Arizonans safe. And Congress needs to provide paid leave and unemployment support for workers and small business owners who are going to be affected.|&Fri Mar 13 03:37:23 SRET 2020|&N/A|&0|&0
safe|&1238187347596005376|&Look I'm sorry that for many of you @JoeBiden seems to be a familiar face, a safe bet against Trump... But all I can see when I look at him is my dementia-addled great-uncle, who hasn't recognized me since 2011 and thinks it's still 1974|&Fri Mar 13 03:37:22 SRET 2020|&N/A|&0|&0
safe|&1238187345071005703|&Still working hard and giving our all. It’s a tough time for everyone at the moment but I you’re all safe and ok! https://t.co/FPb5CpHaSo|&Fri Mar 13 03:37:22 SRET 2020|&N/A|&0|&8
safe|&1238187343921795075|&EVEREADY LED Flashlight Multi-Pack, Bright Flash Light, Durable and Easy-To-Use, Perfect Flashlights For Camping Accessories, Emergency, Survival Kits, Safe Flashlights For Kids, Batteries Included
https://t.co/gyvMRQl85F https://t.co/Ta1au94bEY|&Fri Mar 13 03:37:21 SRET 2020|&N/A|&0|&0
safe|&1238187340075618309|&@wisalbcn Stay safe....and pray five time a day a made regular istughfar.... pray from to save us from this epidemic|&Fri Mar 13 03:37:20 SRET 2020|&N/A|&0|&0
safe|&1238187339391868929|&TAMUK STUDENTS ‼️‼️‼️ BE SAFE ‼️‼️‼️ https://t.co/IrZIGUv1rM|&Fri Mar 13 03:37:20 SRET 2020|&N/A|&0|&0
safe|&1238187338288807942|&@jnyerm @giants_old @billieeilish @WellsFargoCtr @LiveNation @PNCArena Bless your heart cole stay safe|&Fri Mar 13 03:37:20 SRET 2020|&N/A|&0|&0
