keyword|&id|&tweet|&date|&location|&retweets|&likes
virus|&1238127935590223872|&@SharonStPierr11 @Linda1449 Am I mocking people who HAVE the virus? No. Am I mocking people who would like to be TESTED for the virus? No. Am I mocking a family of grifters who would pull such a stunt and put a "beautiful Trump Testing Kit" on the market? You betcha!|&Thu Mar 12 23:41:17 SRET 2020|&N/A|&0|&0
virus|&1238127935070101504|&WHY ARE THE ITALIANS FLEEING TO AFRICA?!!! FOR WHAT?!!!! Let them sit still and be treated in their country! And stop spreading the virus! https://t.co/QEh2bxcKjw|&Thu Mar 12 23:41:17 SRET 2020|&N/A|&0|&0
virus|&1238127934839443457|&@TheKingKlavan Don’t understand how the plan to stop the spread of it then schools are like the best place for a virus to spread|&Thu Mar 12 23:41:17 SRET 2020|&N/A|&0|&0
virus|&1238127934721929219|&i would rather catch the corona virus then not being able to watch my besties play in a tournament they’ve dreamed of playing in their whole lives.|&Thu Mar 12 23:41:17 SRET 2020|&N/A|&0|&0
virus|&1238127934545821698|&*@Aden71__ gets flight benefits*

Corona Virus:  https://t.co/NojqPfAn5O|&Thu Mar 12 23:41:17 SRET 2020|&N/A|&0|&0
virus|&1238127933979602945|&McLaren withdraws from Australian Grand Prix after crew member tests positive for virus | TheHill https://t.co/IFfI4dcNg8|&Thu Mar 12 23:41:17 SRET 2020|&N/A|&0|&0
virus|&1238127933518200832|&This corona virus is going on a rampage.|&Thu Mar 12 23:41:17 SRET 2020|&Nigeria|&0|&0
virus|&1238127933232828422|&This corona virus is really making everyone mad like people are more extreme then ever.... put that on side affects my hell I hate this thing.|&Thu Mar 12 23:41:17 SRET 2020|&N/A|&0|&0
virus|&1238127933161684992|&@LordRonita Worried about people, panic and overreactions and irrational behavior... not the virus.|&Thu Mar 12 23:41:17 SRET 2020|&N/A|&0|&0
virus|&1238127933149130754|&January- World war 3
February- Pandemic virus 
March- Planet of the apes 

THIS YEAR IS WILD! https://t.co/rBhmqANGMp|&Thu Mar 12 23:41:17 SRET 2020|&N/A|&0|&0
virus|&1238127932674957312|&I wonder: If one donates blood, can it help out the individuals who test positive from the Corona virus?|&Thu Mar 12 23:41:17 SRET 2020|&N/A|&0|&0
virus|&1238127932247162881|&Okay I’m going on a limb here: between Gaetz and this new case with the Brazilian official I’m quite confident Trump has the virus! Hell his whole administration might have it😳. https://t.co/dUBdeut4Dv|&Thu Mar 12 23:41:17 SRET 2020|&N/A|&0|&0
virus|&1238127932222160897|&What if Corona Virus is the beast that was talked about in the book of Revelation 🤔|&Thu Mar 12 23:41:17 SRET 2020|&N/A|&0|&0
virus|&1238127931542704131|&@niocalmccormaig A virus they've never seen before|&Thu Mar 12 23:41:16 SRET 2020|&N/A|&0|&0
virus|&1238127931228110854|&@TimRunsHisMouth @HeyVickiHey I will only call it “ The Wuhan virus” “ The Chinese virus”, or “The foreign virus” from this day forth|&Thu Mar 12 23:41:16 SRET 2020|&N/A|&0|&0
virus|&1238127931152457728|&Y’all scared of a virus that’s only killing old and sick people?|&Thu Mar 12 23:41:16 SRET 2020|&N/A|&0|&0
virus|&1238127930942853120|&My manager text everybody the schedule yesterday, then 10 minutes later said “everybody disregard the schedule for next week. Things will change due to events”. Somebody else gon text “CORONA VIRUS???” 😭|&Thu Mar 12 23:41:16 SRET 2020|&N/A|&0|&0
virus|&1238127930846388224|&Because the difference in impact can be so great, global health authorities have the difficult task of alerting the public to the virus' dangers without creating panic.  https://t.co/B8cbvX6lg1|&Thu Mar 12 23:41:16 SRET 2020|&N/A|&0|&0
virus|&1238127930557059072|&“Why y’all not suspending school, theres a virus going around”

Schools: https://t.co/XwG0Q1m6PA|&Thu Mar 12 23:41:16 SRET 2020|&N/A|&0|&0
virus|&1238127930510843911|&@piersmorgan Yeah let's take advice from countries that are the most affected by the virus because they did such a poor job containing it. Sounds like a plan for a stupid person.|&Thu Mar 12 23:41:16 SRET 2020|&N/A|&0|&0
virus|&1238127930129121281|&@fatimaaparker @jollsnowin @JardinTaylor It really cost nothing to put others first sometimes,they’re are many people with underlying health issues that won’t be able to stand this virus don’t you think it’s selfish af to just not care what happens to them|&Thu Mar 12 23:41:16 SRET 2020|&N/A|&0|&0
virus|&1238127930066141184|&Calling it the “Chinese Coronavirus” is not racist. Ebola and the West Nile virus were named after the rivers in which they were discovered. More examples include German measles (Rubella), Hong Kong flu, and the Spanish flu.

Go and be fake outraged at something else, you idiot. https://t.co/UvyEKX1KSH|&Thu Mar 12 23:41:16 SRET 2020|&N/A|&0|&0
virus|&1238127929688821760|&Due to the increasing health threat posed by the spread of the virus COVID-19 we have been forced to make the difficult decision of postponing the Cyprus International Conference Against Imperialism, scheduled for March 27-29, 2020 in Larnaca, Cyprus. 
https://t.co/aplpWaodEd https://t.co/VBlvEKBxbk|&Thu Mar 12 23:41:16 SRET 2020|&N/A|&0|&0
virus|&1238127929110003714|&Closing schools can help limit virus spread through kids mixing, but makes it difficult for parents who work in essential jobs (e.g. healthcare). The solution? Close schools, but then run them as free childcare centres (on a skeleton staff) only for kids of essential key workers.|&Thu Mar 12 23:41:16 SRET 2020|&N/A|&0|&0
virus|&1238127928870912000|&Normal people: corona virus
My dad: CrAna biroos|&Thu Mar 12 23:41:16 SRET 2020|&N/A|&0|&0
